Priority Score,Department,Sub-Department,Category,Service Level,Resolution Time (mins)
4,Credit,Foreign Investments & NRI Banking,Debit Card Activation,1,40
9,General Banking,Trade Finance,Letter of Credit,2,10
7,Credit,Corporate Loans,SWIFT Transfer,1,27
7,Forex,International Transactions,Letter of Credit,2,29
10,Forex,Trade Finance,Home Loan,1,9
8,Forex,Transactions & Payments,Car Loan,1,51
7,Credit,Corporate Loans,NRE/NRO Account Opening,1,63
1,Credit,Foreign Investments & NRI Banking,Fixed Deposit,2,3
5,Forex,Microfinance & Agricultural Loans,Mobile Banking Issue,1,61
6,General Banking,Foreign Investments & NRI Banking,Net Banking Login Issue,1,3
4,General Banking,Banking Tech & Digital Services,Letter of Credit,1,46
6,Forex,International Transactions,Debit Card Activation,1,21
10,Credit,Mortgage & Secured Loans,Home Loan,2,28
5,Forex,Corporate Loans,Fixed Deposit,1,23
6,Credit,Credit Cards,Cash Currency Exchange,2,72
3,Credit,International Transactions,Repatriation of Funds,1,51
3,Forex,Corporate Loans,Working Capital Loan,2,8
4,Forex,International Transactions,Letter of Credit,1,7
4,General Banking,Credit Cards,Loan Against Property,2,3
6,Forex,Retail Loans,Letter of Credit,1,3
8,Forex,Banking Tech & Digital Services,Education Loan,2,11
5,Forex,Transactions & Payments,Education Loan,2,15
8,Forex,KYC & Documentation,Repatriation of Funds,1,10
5,Forex,Retail Loans,Personal Loan,1,86
9,Forex,Currency Exchange,Mobile Banking Issue,3,3
9,General Banking,Mortgage & Secured Loans,Loan Against Property,2,86
4,Credit,KYC & Documentation,Reward Points Inquiry,2,7
4,General Banking,Transactions & Payments,Fixed Deposit,1,33
9,General Banking,Foreign Investments & NRI Banking,Fixed Deposit,3,10
8,Forex,Currency Exchange,Debit Card Activation,2,7
5,Forex,Retail Loans,Foreign Exchange Rates Inquiry,1,3
8,Forex,Microfinance & Agricultural Loans,Debit Card Activation,1,86
6,General Banking,Microfinance & Agricultural Loans,Loan Against Property,3,7
8,Credit,Retail Loans,Car Loan,3,30
10,General Banking,Transactions & Payments,Debit Card Activation,2,73
7,Credit,Retail Loans,Education Loan,2,86
5,General Banking,Currency Exchange,Cash Currency Exchange,1,3
4,Credit,Transactions & Payments,Reward Points Inquiry,3,13
7,Forex,Accounts & Deposits,Fixed Deposit,2,15
6,Credit,International Transactions,Education Loan,1,86
2,General Banking,Retail Loans,Education Loan,1,86
10,Forex,Foreign Investments & NRI Banking,Loan Against Property,1,86
6,Forex,Credit Cards,Credit Limit Increase,1,3
9,Credit,KYC & Documentation,Repatriation of Funds,2,26
5,General Banking,Transactions & Payments,Education Loan,1,23
8,Credit,Trade Finance,Fixed Deposit,1,3
9,General Banking,Retail Loans,Education Loan,3,65
8,Credit,Microfinance & Agricultural Loans,Loan Against Property,1,20
5,General Banking,Transactions & Payments,Cash Currency Exchange,1,29
7,Forex,Corporate Loans,Mobile Banking Issue,1,68
7,Credit,KYC & Documentation,Mobile Banking Issue,1,21
5,Credit,Mortgage & Secured Loans,Debit Card Activation,2,29
1,Credit,Mortgage & Secured Loans,Education Loan,2,23
7,Credit,Foreign Investments & NRI Banking,SWIFT Transfer,3,11
1,Credit,Transactions & Payments,Debit Card Activation,1,3
1,Forex,Trade Finance,Credit Limit Increase,2,21
3,General Banking,Trade Finance,SWIFT Transfer,3,86
7,Credit,Currency Exchange,Letter of Credit,3,86
10,Credit,Corporate Loans,Personal Loan,1,17
6,Forex,KYC & Documentation,Letter of Credit,3,3
9,Forex,Corporate Loans,Loan Against Property,1,10
10,Forex,Transactions & Payments,Fixed Deposit,1,6
7,Credit,Transactions & Payments,Education Loan,2,16
6,Forex,Microfinance & Agricultural Loans,Education Loan,1,19
10,Credit,Trade Finance,NRE/NRO Account Opening,1,65
5,Credit,Microfinance & Agricultural Loans,Fixed Deposit,1,12
5,Forex,International Transactions,Car Loan,2,86
6,Credit,Mortgage & Secured Loans,Cash Currency Exchange,1,29
5,Forex,Trade Finance,NRE/NRO Account Opening,1,24
6,Forex,KYC & Documentation,Fixed Deposit,1,18
7,Credit,Mortgage & Secured Loans,Mobile Banking Issue,2,86
2,Credit,Currency Exchange,Fixed Deposit,2,10
7,General Banking,Corporate Loans,Reward Points Inquiry,3,86
3,Credit,Currency Exchange,Debit Card Activation,1,69
6,Credit,Banking Tech & Digital Services,Home Loan,1,3
6,Credit,Transactions & Payments,Repatriation of Funds,3,3
1,Credit,Microfinance & Agricultural Loans,NRE/NRO Account Opening,1,67
8,General Banking,Banking Tech & Digital Services,Debit Card Activation,3,3
9,General Banking,International Transactions,Car Loan,1,26
8,Credit,Retail Loans,SWIFT Transfer,3,21
7,Forex,Transactions & Payments,Personal Loan,2,86
7,Credit,Trade Finance,Education Loan,1,17
6,Credit,Credit Cards,SWIFT Transfer,2,82
1,Credit,Trade Finance,NRE/NRO Account Opening,1,3
10,Credit,Credit Cards,Working Capital Loan,2,3
8,Forex,Credit Cards,NRE/NRO Account Opening,1,69
1,Forex,Corporate Loans,Working Capital Loan,1,24
7,Forex,Retail Loans,Letter of Credit,2,4
7,Credit,Retail Loans,Foreign Exchange Rates Inquiry,1,3
9,Forex,Microfinance & Agricultural Loans,Cash Currency Exchange,3,33
6,Credit,Microfinance & Agricultural Loans,Fixed Deposit,1,86
10,Forex,Currency Exchange,SWIFT Transfer,2,49
6,Credit,Currency Exchange,Car Loan,1,8
9,Forex,Trade Finance,Foreign Exchange Rates Inquiry,1,21
10,Forex,Retail Loans,Mobile Banking Issue,1,64
9,Forex,Credit Cards,Mobile Banking Issue,3,3
6,General Banking,Corporate Loans,Reward Points Inquiry,3,16
9,Forex,Corporate Loans,Education Loan,2,9
2,Forex,Foreign Investments & NRI Banking,Debit Card Activation,1,21
1,General Banking,Retail Loans,Reward Points Inquiry,2,26
2,Credit,Currency Exchange,SWIFT Transfer,1,86
1,Credit,Corporate Loans,Debit Card Activation,2,11
5,Forex,Retail Loans,SWIFT Transfer,1,6
3,General Banking,Corporate Loans,Home Loan,3,32
8,Forex,Credit Cards,NRE/NRO Account Opening,2,38
10,General Banking,Trade Finance,NEFT/RTGS/IMPS Issue,2,77
8,Forex,Banking Tech & Digital Services,Education Loan,3,20
3,Forex,Trade Finance,Letter of Credit,2,3
2,General Banking,Trade Finance,Fixed Deposit,1,21
7,Credit,Accounts & Deposits,Bank Guarantee,2,86
9,Credit,Currency Exchange,SWIFT Transfer,1,16
9,Forex,KYC & Documentation,Lost/Stolen Card,1,86
1,Forex,KYC & Documentation,Education Loan,3,86
5,Credit,Trade Finance,Foreign Exchange Rates Inquiry,1,44
10,Credit,Corporate Loans,Education Loan,1,51
8,General Banking,Foreign Investments & NRI Banking,Loan Against Property,3,75
10,Credit,Corporate Loans,Fixed Deposit,1,27
1,General Banking,Trade Finance,SWIFT Transfer,1,3
9,Forex,Microfinance & Agricultural Loans,Foreign Exchange Rates Inquiry,1,3
8,Forex,Microfinance & Agricultural Loans,Car Loan,3,61
7,Forex,Retail Loans,Personal Loan,1,18
10,Forex,Credit Cards,Foreign Exchange Rates Inquiry,1,32
9,Credit,Trade Finance,SWIFT Transfer,3,16
7,General Banking,Retail Loans,Mobile Banking Issue,3,57
5,Forex,Corporate Loans,Foreign Exchange Rates Inquiry,1,10
1,Credit,Trade Finance,Education Loan,1,3
7,Credit,Retail Loans,Personal Loan,2,58
1,Credit,Banking Tech & Digital Services,Fixed Deposit,1,44
8,Forex,Microfinance & Agricultural Loans,Debit Card Activation,3,8
6,Forex,KYC & Documentation,Working Capital Loan,1,86
6,Forex,KYC & Documentation,Car Loan,2,86
6,Credit,Foreign Investments & NRI Banking,Home Loan,2,21
1,Forex,Microfinance & Agricultural Loans,Loan Against Property,2,50
9,Forex,Credit Cards,Mobile Banking Issue,2,86
10,General Banking,Retail Loans,Fixed Deposit,1,44
6,Credit,Foreign Investments & NRI Banking,Personal Loan,1,3
7,Forex,Mortgage & Secured Loans,Cash Currency Exchange,2,3
10,Forex,KYC & Documentation,Debit Card Activation,1,45
8,Forex,Transactions & Payments,Reward Points Inquiry,1,3
10,Forex,International Transactions,SWIFT Transfer,1,67
3,Forex,Microfinance & Agricultural Loans,SWIFT Transfer,1,28
7,Forex,Transactions & Payments,Education Loan,2,66
4,Forex,Banking Tech & Digital Services,NRE/NRO Account Opening,1,8
5,Credit,Currency Exchange,Foreign Exchange Rates Inquiry,3,24
8,Forex,Transactions & Payments,Working Capital Loan,3,23
6,Credit,International Transactions,Car Loan,2,57
5,Forex,International Transactions,Foreign Exchange Rates Inquiry,3,21
5,General Banking,Transactions & Payments,Cash Currency Exchange,1,23
7,Forex,International Transactions,NEFT/RTGS/IMPS Issue,3,19
10,Forex,KYC & Documentation,Home Loan,3,16
1,General Banking,Microfinance & Agricultural Loans,Foreign Exchange Rates Inquiry,1,14
6,Forex,International Transactions,Reward Points Inquiry,2,8
9,Forex,Foreign Investments & NRI Banking,Letter of Credit,3,26
7,General Banking,KYC & Documentation,Reward Points Inquiry,1,26
6,Credit,International Transactions,Home Loan,1,60
4,General Banking,Foreign Investments & NRI Banking,Home Loan,3,24
8,Credit,Retail Loans,Car Loan,3,32
4,Forex,Trade Finance,Home Loan,3,29
4,General Banking,Currency Exchange,Debit Card Activation,2,31
5,General Banking,Trade Finance,Lost/Stolen Card,1,30
8,Credit,Currency Exchange,Home Loan,2,12
5,Forex,Banking Tech & Digital Services,Fixed Deposit,1,61
6,General Banking,Corporate Loans,Loan Against Property,3,16
9,Credit,Corporate Loans,Mobile Banking Issue,2,20
9,Forex,Trade Finance,Working Capital Loan,1,3
4,Forex,International Transactions,Education Loan,1,7
7,Credit,Transactions & Payments,Fixed Deposit,3,24
10,Forex,Foreign Investments & NRI Banking,Cash Currency Exchange,3,5
10,Forex,Corporate Loans,Home Loan,3,86
8,General Banking,Banking Tech & Digital Services,Home Loan,3,3
8,Forex,Transactions & Payments,Education Loan,1,75
1,Forex,Banking Tech & Digital Services,Working Capital Loan,2,3
7,Forex,Credit Cards,Education Loan,1,3
10,Forex,KYC & Documentation,Car Loan,3,86
10,Credit,Trade Finance,SWIFT Transfer,1,27
8,Credit,Banking Tech & Digital Services,Education Loan,3,6
4,General Banking,Microfinance & Agricultural Loans,Foreign Exchange Rates Inquiry,1,21
1,Forex,Trade Finance,Foreign Exchange Rates Inquiry,1,8
1,Credit,Transactions & Payments,Reward Points Inquiry,1,86
8,Forex,Microfinance & Agricultural Loans,Cash Currency Exchange,3,3
8,General Banking,Retail Loans,Cash Currency Exchange,1,7
8,Forex,Currency Exchange,Letter of Credit,1,3
4,Forex,Credit Cards,Repatriation of Funds,1,56
7,Credit,International Transactions,Home Loan,2,73
6,General Banking,Banking Tech & Digital Services,Net Banking Login Issue,1,22
8,Credit,International Transactions,Debit Card Activation,1,3
10,General Banking,Credit Cards,NRE/NRO Account Opening,1,79
9,Forex,Credit Cards,Loan Against Property,1,86
9,Credit,Trade Finance,Working Capital Loan,1,86
10,Credit,Banking Tech & Digital Services,Debit Card Activation,1,73
4,General Banking,Transactions & Payments,Education Loan,2,3
5,General Banking,Mortgage & Secured Loans,Mobile Banking Issue,1,23
9,Credit,Currency Exchange,NRE/NRO Account Opening,3,31
1,Forex,International Transactions,SWIFT Transfer,1,69
2,Forex,Trade Finance,Education Loan,1,30
6,General Banking,International Transactions,Savings Account,1,6
5,General Banking,Retail Loans,Letter of Credit,3,3
10,Credit,KYC & Documentation,Loan Against Property,3,26
7,General Banking,Retail Loans,Letter of Credit,2,29
4,Credit,Transactions & Payments,Repatriation of Funds,2,48
5,General Banking,Credit Cards,Home Loan,1,15
3,Credit,International Transactions,Reward Points Inquiry,1,86
5,Forex,Transactions & Payments,Car Loan,3,16
3,General Banking,Microfinance & Agricultural Loans,Reward Points Inquiry,1,75
3,General Banking,Banking Tech & Digital Services,Fixed Deposit,1,86
6,Forex,Credit Cards,NEFT/RTGS/IMPS Issue,3,25
5,Forex,Retail Loans,Working Capital Loan,3,26
10,Credit,Foreign Investments & NRI Banking,Car Loan,3,22
2,Credit,Credit Cards,Letter of Credit,2,86
6,Credit,Trade Finance,Loan Against Property,1,25
7,Forex,Trade Finance,Education Loan,1,31
6,Forex,Currency Exchange,Credit Limit Increase,1,86
8,General Banking,International Transactions,Mobile Banking Issue,2,22
10,General Banking,Credit Cards,SWIFT Transfer,1,27
5,Forex,Corporate Loans,Reward Points Inquiry,1,15
4,Credit,Trade Finance,SWIFT Transfer,3,86
10,Credit,Trade Finance,Mobile Banking Issue,1,20
1,Credit,International Transactions,NRE/NRO Account Opening,3,24
6,Forex,Credit Cards,Cash Currency Exchange,1,52
3,Forex,International Transactions,Home Loan,1,73
6,Forex,Banking Tech & Digital Services,Loan Against Property,1,78
10,Credit,Mortgage & Secured Loans,Repatriation of Funds,2,28
7,Forex,Foreign Investments & NRI Banking,Debit Card Activation,1,3
9,General Banking,International Transactions,NEFT/RTGS/IMPS Issue,2,26
1,Forex,Credit Cards,Mobile Banking Issue,1,11
10,Credit,Banking Tech & Digital Services,SWIFT Transfer,1,28
1,Credit,Corporate Loans,Cash Currency Exchange,2,14
4,Forex,International Transactions,Cash Currency Exchange,2,30
6,Forex,Retail Loans,Education Loan,3,17
7,Forex,Credit Cards,Home Loan,1,27
5,Credit,Transactions & Payments,Loan Against Property,1,52
4,Credit,Retail Loans,Debit Card Activation,1,86
3,Credit,International Transactions,Education Loan,1,15
9,Forex,KYC & Documentation,Education Loan,1,86
10,General Banking,Accounts & Deposits,SWIFT Transfer,1,56
6,Credit,Transactions & Payments,Working Capital Loan,2,32
5,General Banking,KYC & Documentation,Credit Limit Increase,1,75
9,Credit,Retail Loans,Net Banking Login Issue,1,24
8,Forex,Banking Tech & Digital Services,Working Capital Loan,2,86
4,Credit,KYC & Documentation,Reward Points Inquiry,2,79
9,Forex,Trade Finance,Loan Against Property,3,15
1,Credit,KYC & Documentation,Letter of Credit,1,3
3,Credit,Corporate Loans,Education Loan,1,56
6,Forex,Credit Cards,Working Capital Loan,1,50
7,Credit,Trade Finance,Loan Against Property,2,58
4,Credit,Credit Cards,Education Loan,1,19
7,Forex,Mortgage & Secured Loans,Credit Limit Increase,2,28
7,General Banking,Currency Exchange,Reward Points Inquiry,1,66
6,Credit,Retail Loans,Letter of Credit,2,18
7,Forex,International Transactions,Home Loan,3,86
1,Credit,Retail Loans,Loan Against Property,1,86
3,General Banking,Currency Exchange,Cash Currency Exchange,2,24
7,Forex,Mortgage & Secured Loans,Education Loan,1,3
6,Credit,Credit Cards,Home Loan,1,29
5,Credit,Credit Cards,Working Capital Loan,2,20
8,Credit,Credit Cards,Debit Card Activation,1,86
9,Credit,Credit Cards,Debit Card Activation,2,3
5,Forex,Transactions & Payments,Cash Currency Exchange,1,8
10,Credit,Currency Exchange,Car Loan,1,11
9,Forex,International Transactions,Loan Against Property,3,28
4,General Banking,International Transactions,Foreign Exchange Rates Inquiry,3,12
4,General Banking,Accounts & Deposits,Letter of Credit,2,18
8,Credit,International Transactions,Reward Points Inquiry,1,8
4,General Banking,Credit Cards,Bank Guarantee,2,58
9,Forex,Trade Finance,Fixed Deposit,1,33
4,General Banking,KYC & Documentation,SWIFT Transfer,2,34
3,General Banking,Credit Cards,NRE/NRO Account Opening,2,3
6,Credit,Foreign Investments & NRI Banking,Letter of Credit,1,33
10,Forex,Corporate Loans,NRE/NRO Account Opening,3,70
10,Credit,International Transactions,Fixed Deposit,1,28
10,General Banking,Trade Finance,Education Loan,2,48
8,Forex,International Transactions,Debit Card Activation,1,86
8,Forex,Trade Finance,Net Banking Login Issue,2,12
2,Forex,Microfinance & Agricultural Loans,Education Loan,1,84
2,General Banking,Foreign Investments & NRI Banking,Debit Card Activation,3,15
8,Credit,Trade Finance,Personal Loan,1,3
7,Credit,Credit Cards,Mobile Banking Issue,1,15
5,Credit,Retail Loans,Fixed Deposit,2,7
8,Forex,International Transactions,Net Banking Login Issue,3,16
10,Credit,Corporate Loans,Personal Loan,3,55
6,General Banking,Banking Tech & Digital Services,Cash Currency Exchange,3,23
9,Credit,Corporate Loans,Debit Card Activation,3,68
9,General Banking,Retail Loans,Home Loan,3,58
8,Credit,Trade Finance,Letter of Credit,2,86
9,Forex,Banking Tech & Digital Services,Car Loan,1,22
5,Credit,Trade Finance,Loan Against Property,2,3
6,Forex,Mortgage & Secured Loans,Education Loan,1,51
7,Credit,Foreign Investments & NRI Banking,NEFT/RTGS/IMPS Issue,2,86
9,Credit,Credit Cards,Net Banking Login Issue,2,9
4,General Banking,Corporate Loans,Net Banking Login Issue,1,86
6,Forex,Credit Cards,NRE/NRO Account Opening,3,20
7,Forex,KYC & Documentation,Home Loan,3,15
3,General Banking,Retail Loans,Debit Card Activation,1,37
1,Credit,Trade Finance,Debit Card Activation,2,13
7,Credit,Mortgage & Secured Loans,Education Loan,2,19
1,Credit,Mortgage & Secured Loans,Savings Account,2,6
6,Credit,Foreign Investments & NRI Banking,Working Capital Loan,2,20
6,Credit,Transactions & Payments,Working Capital Loan,2,86
8,Forex,Credit Cards,Foreign Exchange Rates Inquiry,2,86
5,General Banking,Transactions & Payments,Education Loan,2,52
1,Credit,Transactions & Payments,Personal Loan,2,12
5,Forex,Retail Loans,Repatriation of Funds,3,86
4,Credit,Corporate Loans,Letter of Credit,2,14
7,General Banking,Credit Cards,Debit Card Activation,1,70
4,Forex,Corporate Loans,Lost/Stolen Card,1,3
2,Credit,Retail Loans,Loan Against Property,2,3
10,Credit,Trade Finance,Mobile Banking Issue,1,22
4,Credit,Corporate Loans,Education Loan,1,24
7,Forex,Foreign Investments & NRI Banking,Debit Card Activation,2,18
7,General Banking,Transactions & Payments,Education Loan,1,60
8,Credit,Trade Finance,NRE/NRO Account Opening,3,86
6,Credit,Accounts & Deposits,NRE/NRO Account Opening,2,85
5,Credit,Transactions & Payments,Cash Currency Exchange,3,86
5,Credit,Transactions & Payments,Education Loan,3,23
7,Credit,Transactions & Payments,Fixed Deposit,3,19
1,Credit,Accounts & Deposits,Debit Card Activation,1,3
8,General Banking,Transactions & Payments,Bank Guarantee,1,23
8,General Banking,Trade Finance,Net Banking Login Issue,1,17
6,Forex,International Transactions,Loan Against Property,1,29
1,General Banking,Microfinance & Agricultural Loans,Mobile Banking Issue,1,27
8,Forex,Mortgage & Secured Loans,Letter of Credit,2,4
10,Credit,Transactions & Payments,Mobile Banking Issue,1,6
6,Forex,Accounts & Deposits,Mobile Banking Issue,2,22
8,Forex,Retail Loans,Bank Guarantee,3,3
4,Forex,Transactions & Payments,Debit Card Activation,1,3
5,Forex,Microfinance & Agricultural Loans,Reward Points Inquiry,1,56
3,Forex,Corporate Loans,Foreign Exchange Rates Inquiry,1,50
9,Forex,Currency Exchange,Credit Limit Increase,1,29
4,Credit,International Transactions,Debit Card Activation,1,86
10,General Banking,Corporate Loans,Fixed Deposit,3,24
4,General Banking,Accounts & Deposits,Loan Against Property,2,9
7,Forex,Trade Finance,Personal Loan,2,3
10,Credit,Currency Exchange,Cash Currency Exchange,1,3
7,General Banking,Trade Finance,Education Loan,3,86
2,General Banking,Banking Tech & Digital Services,Mobile Banking Issue,2,28
7,Forex,Transactions & Payments,Home Loan,3,13
9,Forex,KYC & Documentation,Letter of Credit,3,20
2,Forex,Currency Exchange,Foreign Exchange Rates Inquiry,1,86
5,Forex,Banking Tech & Digital Services,Net Banking Login Issue,1,86
6,Credit,Corporate Loans,Education Loan,1,53
7,General Banking,Currency Exchange,Cash Currency Exchange,1,86
9,Forex,Transactions & Payments,NRE/NRO Account Opening,2,30
6,Credit,Foreign Investments & NRI Banking,Personal Loan,1,43
3,Forex,Mortgage & Secured Loans,Letter of Credit,3,3
1,General Banking,Microfinance & Agricultural Loans,SWIFT Transfer,2,16
10,Forex,Mortgage & Secured Loans,Loan Against Property,2,3
7,Forex,Accounts & Deposits,SWIFT Transfer,1,19
8,Credit,Transactions & Payments,Debit Card Activation,3,30
6,Forex,Credit Cards,Cash Currency Exchange,2,3
9,General Banking,Transactions & Payments,Reward Points Inquiry,2,3
9,General Banking,Retail Loans,Education Loan,2,86
4,Forex,International Transactions,Working Capital Loan,2,27
5,Forex,Trade Finance,Personal Loan,2,30
8,Forex,Mortgage & Secured Loans,Fixed Deposit,2,86
10,Credit,Trade Finance,Reward Points Inquiry,1,19
7,Credit,Foreign Investments & NRI Banking,Fixed Deposit,1,3
1,Forex,Trade Finance,Loan Against Property,3,42
8,Forex,International Transactions,Debit Card Activation,3,49
9,Credit,Transactions & Payments,Lost/Stolen Card,3,17
6,General Banking,Currency Exchange,Working Capital Loan,3,86
8,Forex,Currency Exchange,Education Loan,1,86
5,General Banking,Accounts & Deposits,Debit Card Activation,1,62
1,Credit,Trade Finance,Fixed Deposit,3,28
1,Forex,Mortgage & Secured Loans,Car Loan,3,26
8,General Banking,Microfinance & Agricultural Loans,Cash Currency Exchange,2,3
8,Forex,International Transactions,Education Loan,3,3
10,Credit,Microfinance & Agricultural Loans,SWIFT Transfer,1,86
1,Credit,KYC & Documentation,Lost/Stolen Card,1,84
9,Credit,Retail Loans,Education Loan,3,25
5,Forex,Microfinance & Agricultural Loans,Education Loan,1,33
8,Forex,KYC & Documentation,Reward Points Inquiry,1,6
9,Forex,Retail Loans,Personal Loan,3,15
6,Credit,Corporate Loans,NRE/NRO Account Opening,1,55
8,Forex,Trade Finance,Savings Account,1,10
9,Forex,Currency Exchange,SWIFT Transfer,1,13
10,Credit,Microfinance & Agricultural Loans,Education Loan,3,25
8,Credit,Trade Finance,Education Loan,1,3
10,Credit,Credit Cards,SWIFT Transfer,3,32
10,Forex,Microfinance & Agricultural Loans,Repatriation of Funds,3,3
5,Forex,International Transactions,Education Loan,2,80
8,Forex,Banking Tech & Digital Services,Foreign Exchange Rates Inquiry,2,30
1,General Banking,International Transactions,Cash Currency Exchange,1,23
9,Forex,Foreign Investments & NRI Banking,Working Capital Loan,1,86
8,Forex,Retail Loans,Education Loan,2,25
1,Forex,International Transactions,Reward Points Inquiry,2,76
8,Credit,Credit Cards,Fixed Deposit,1,66
5,Forex,International Transactions,Foreign Exchange Rates Inquiry,3,83
6,Forex,Foreign Investments & NRI Banking,Fixed Deposit,1,7
2,Forex,Mortgage & Secured Loans,Reward Points Inquiry,3,25
4,Credit,International Transactions,Repatriation of Funds,3,51
8,Credit,Corporate Loans,Home Loan,1,24
1,Forex,Accounts & Deposits,Lost/Stolen Card,2,18
9,General Banking,Retail Loans,Debit Card Activation,3,34
10,Credit,Accounts & Deposits,Foreign Exchange Rates Inquiry,1,3
5,General Banking,Corporate Loans,Fixed Deposit,1,18
1,Forex,Transactions & Payments,Foreign Exchange Rates Inquiry,2,14
7,Credit,KYC & Documentation,Home Loan,2,6
7,Credit,Accounts & Deposits,Car Loan,2,38
5,Credit,Mortgage & Secured Loans,Reward Points Inquiry,1,18
6,Credit,Microfinance & Agricultural Loans,Reward Points Inquiry,1,12
1,Forex,Credit Cards,Fixed Deposit,1,80
10,Forex,Corporate Loans,Fixed Deposit,1,3
8,General Banking,Transactions & Payments,Education Loan,1,21
6,General Banking,Trade Finance,Home Loan,1,32
7,Forex,International Transactions,Savings Account,1,34
8,Forex,Accounts & Deposits,NRE/NRO Account Opening,1,28
9,General Banking,Transactions & Payments,Net Banking Login Issue,1,16
4,Credit,Retail Loans,NRE/NRO Account Opening,1,14
1,Forex,Currency Exchange,Debit Card Activation,1,20
1,Forex,Corporate Loans,Car Loan,2,11
1,Credit,Currency Exchange,Lost/Stolen Card,1,25
4,Credit,Transactions & Payments,Education Loan,2,5
3,Credit,KYC & Documentation,Debit Card Activation,2,48
6,Credit,Retail Loans,Education Loan,2,12
6,Forex,Currency Exchange,SWIFT Transfer,2,21
1,General Banking,International Transactions,Car Loan,2,15
10,Credit,Retail Loans,Car Loan,1,73
10,General Banking,Credit Cards,Letter of Credit,3,14
6,Forex,International Transactions,Debit Card Activation,2,3
10,General Banking,Mortgage & Secured Loans,SWIFT Transfer,1,16
5,General Banking,Mortgage & Secured Loans,Education Loan,2,7
1,Forex,Currency Exchange,Letter of Credit,3,67
10,Forex,Credit Cards,SWIFT Transfer,1,16
5,Credit,KYC & Documentation,Mobile Banking Issue,2,32
8,Credit,Microfinance & Agricultural Loans,Net Banking Login Issue,1,18
8,Forex,Retail Loans,Foreign Exchange Rates Inquiry,3,24
10,Credit,Accounts & Deposits,Education Loan,1,12
5,Credit,Currency Exchange,Working Capital Loan,1,52
3,Credit,Microfinance & Agricultural Loans,Letter of Credit,1,10
10,Forex,Banking Tech & Digital Services,Home Loan,1,19
6,General Banking,Credit Cards,Education Loan,2,13
5,Forex,Banking Tech & Digital Services,Car Loan,2,10
10,Forex,International Transactions,Letter of Credit,2,57
5,Forex,Trade Finance,Car Loan,1,17
1,Forex,Banking Tech & Digital Services,Education Loan,1,86
7,General Banking,Credit Cards,Reward Points Inquiry,2,32
7,General Banking,Accounts & Deposits,Education Loan,1,20
10,Forex,Corporate Loans,Car Loan,1,10
3,Credit,Microfinance & Agricultural Loans,Working Capital Loan,2,3
1,Forex,Currency Exchange,Foreign Exchange Rates Inquiry,1,86
6,Forex,Corporate Loans,NRE/NRO Account Opening,3,19
6,Credit,Mortgage & Secured Loans,Loan Against Property,2,53
6,Forex,Corporate Loans,Car Loan,1,86
2,Forex,Accounts & Deposits,Foreign Exchange Rates Inquiry,3,8
7,General Banking,Microfinance & Agricultural Loans,Loan Against Property,1,84
6,Credit,Trade Finance,NEFT/RTGS/IMPS Issue,2,11
7,Forex,International Transactions,Working Capital Loan,3,33
7,Forex,Banking Tech & Digital Services,Debit Card Activation,1,3
7,Credit,Credit Cards,Fixed Deposit,1,14
5,Forex,Transactions & Payments,Letter of Credit,1,22
3,Credit,Credit Cards,Foreign Exchange Rates Inquiry,1,3
8,Credit,Foreign Investments & NRI Banking,Repatriation of Funds,3,64
1,Forex,Foreign Investments & NRI Banking,Debit Card Activation,3,3
6,Credit,Credit Cards,NRE/NRO Account Opening,2,29
7,Forex,International Transactions,Mobile Banking Issue,1,31
9,Credit,Credit Cards,Personal Loan,3,28
1,Forex,Trade Finance,Loan Against Property,2,17
8,Credit,Transactions & Payments,Mobile Banking Issue,1,30
7,Forex,Credit Cards,Foreign Exchange Rates Inquiry,1,13
7,General Banking,Retail Loans,Loan Against Property,2,28
4,Credit,Trade Finance,Debit Card Activation,1,60
10,Forex,KYC & Documentation,Education Loan,2,27
5,Forex,Banking Tech & Digital Services,NRE/NRO Account Opening,3,13
4,Forex,Transactions & Payments,Education Loan,1,86
10,Forex,Retail Loans,Bank Guarantee,1,10
6,General Banking,Accounts & Deposits,Letter of Credit,3,3
5,Credit,Banking Tech & Digital Services,Letter of Credit,3,82
4,General Banking,Trade Finance,Foreign Exchange Rates Inquiry,2,41
6,Forex,Microfinance & Agricultural Loans,Reward Points Inquiry,1,14
3,Credit,Foreign Investments & NRI Banking,NRE/NRO Account Opening,1,47
1,Credit,International Transactions,SWIFT Transfer,1,42
4,Forex,Corporate Loans,Working Capital Loan,1,3
6,General Banking,Credit Cards,Cash Currency Exchange,3,86
10,General Banking,International Transactions,Working Capital Loan,2,3
8,Forex,Foreign Investments & NRI Banking,Fixed Deposit,3,3
1,General Banking,Corporate Loans,Reward Points Inquiry,1,86
7,Forex,Credit Cards,Letter of Credit,2,27
9,Credit,Trade Finance,NRE/NRO Account Opening,2,45
7,Credit,Retail Loans,Debit Card Activation,1,21
9,Forex,Foreign Investments & NRI Banking,Letter of Credit,1,22
8,General Banking,Corporate Loans,Letter of Credit,1,3
8,Credit,Mortgage & Secured Loans,Education Loan,1,6
10,Forex,Microfinance & Agricultural Loans,Education Loan,1,14
1,General Banking,Banking Tech & Digital Services,SWIFT Transfer,2,28
6,General Banking,Microfinance & Agricultural Loans,Working Capital Loan,2,26
