Priority Score,Department,Sub-Department,Service Request,Service Request Level,Resolution Time (Minutes)
8,General Banking,Mortgage & Secured Loans,Personal Loan,3,29.4
8,General Banking,Transactions & Payments,Recurring Deposit,1,3.0
10,Credit,Banking Tech & Digital Services,Cash Currency Exchange,3,25.9
8,General Banking,Foreign Investments & NRI Banking,Fixed Deposit,1,31.5
10,Forex,Trade Finance,Fixed Deposit,3,3.0
1,Forex,Cards & Banking Services,Cash Currency Exchange,2,45.6
10,Forex,Cards & Banking Services,Fixed Deposit,3,3.0
10,Forex,Microfinance & Agricultural Loans,Lost/Stolen Card,2,27.3
6,Credit,Foreign Investments & NRI Banking,Lost/Stolen Card,1,3.0
7,Credit,Credit Cards,Loan Against Property,1,3.0
8,Forex,Currency Exchange,Repatriation of Funds,2,6.7
10,General Banking,Credit Cards,Loan Against Property,2,3.0
7,General Banking,Banking Tech & Digital Services,Debit Card Activation,3,5.3
10,Credit,Foreign Investments & NRI Banking,Working Capital Loan,3,82.8
1,Forex,Cards & Banking Services,Recurring Deposit,2,46.4
3,General Banking,Currency Exchange,Education Loan,2,3.0
10,Credit,Retail Loans,Recurring Deposit,2,3.0
1,General Banking,Banking Tech & Digital Services,SWIFT Transfer,2,3.0
10,General Banking,Mortgage & Secured Loans,Savings Account,1,57.3
5,General Banking,Transactions & Payments,Debit Card Activation,2,34.4
10,General Banking,Corporate Loans,Loan Against Property,1,3.0
4,General Banking,Microfinance & Agricultural Loans,NRE/NRO Account Opening,1,3.0
10,Credit,Banking Tech & Digital Services,Current Account,3,32.5
8,Credit,International Transactions,Cash Currency Exchange,3,110.2
10,Credit,Banking Tech & Digital Services,Reward Points Inquiry,1,3.0
9,Credit,Transactions & Payments,Recurring Deposit,3,125.5
1,Credit,KYC & Documentation,Foreign Exchange Rates Inquiry,2,10.2
6,General Banking,KYC & Documentation,Loan Against Property,3,63.9
10,Forex,Transactions & Payments,Repatriation of Funds,2,39.6
7,Forex,Retail Loans,Education Loan,1,44.2
2,Credit,KYC & Documentation,Letter of Credit,1,38.3
10,Forex,Foreign Investments & NRI Banking,Foreign Exchange Rates Inquiry,2,3.0
1,Credit,International Transactions,Letter of Credit,1,3.0
10,Forex,Retail Loans,Cash Currency Exchange,1,64.1
7,Credit,International Transactions,Debit Card Activation,3,3.0
5,Credit,Trade Finance,Reward Points Inquiry,2,40.0
7,Forex,Retail Loans,Savings Account,2,3.0
5,Credit,Corporate Loans,NRE/NRO Account Opening,1,15.8
5,Forex,Accounts & Deposits,SWIFT Transfer,2,47.3
3,Credit,International Transactions,NRE/NRO Account Opening,2,6.8
6,Credit,Corporate Loans,Mobile Banking Issue,1,3.0
8,General Banking,Foreign Investments & NRI Banking,Credit Limit Increase,1,14.3
10,Forex,Currency Exchange,NRE/NRO Account Opening,1,3.0
10,General Banking,Retail Loans,Reward Points Inquiry,3,3.0
10,Forex,Cards & Banking Services,Current Account,1,40.0
8,General Banking,Retail Loans,Working Capital Loan,1,3.0
9,Forex,Retail Loans,Reward Points Inquiry,2,3.0
10,General Banking,Corporate Loans,Car Loan,1,3.0
3,General Banking,KYC & Documentation,Loan Against Property,3,26.8
10,Credit,Cards & Banking Services,SWIFT Transfer,3,17.0
5,Credit,International Transactions,Recurring Deposit,1,10.3
10,Credit,Currency Exchange,Personal Loan,3,14.7
10,Forex,Accounts & Deposits,Net Banking Login Issue,2,46.8
10,Forex,KYC & Documentation,Repatriation of Funds,3,3.0
10,Forex,International Transactions,Home Loan,2,3.0
10,Forex,Cards & Banking Services,Letter of Credit,2,41.9
7,Credit,KYC & Documentation,Mobile Banking Issue,2,3.0
10,General Banking,Transactions & Payments,Loan Against Property,1,3.0
10,General Banking,Corporate Loans,NRE/NRO Account Opening,1,3.0
10,Credit,Retail Loans,Letter of Credit,1,60.0
9,Forex,KYC & Documentation,Lost/Stolen Card,2,3.0
7,Forex,Cards & Banking Services,Debit Card Activation,1,17.3
10,Forex,Credit Cards,Fixed Deposit,3,84.8
5,Forex,Corporate Loans,Cash Currency Exchange,1,3.0
8,Forex,Banking Tech & Digital Services,Foreign Exchange Rates Inquiry,1,3.0
10,General Banking,Foreign Investments & NRI Banking,Home Loan,3,6.1
4,Credit,Mortgage & Secured Loans,Reward Points Inquiry,1,3.0
6,Forex,Retail Loans,Working Capital Loan,2,3.0
4,Credit,Banking Tech & Digital Services,Working Capital Loan,1,56.3
6,Credit,Retail Loans,Foreign Exchange Rates Inquiry,2,3.0
7,General Banking,Banking Tech & Digital Services,Cash Currency Exchange,1,3.0
7,Credit,KYC & Documentation,Lost/Stolen Card,3,31.2
10,General Banking,Corporate Loans,Net Banking Login Issue,2,10.0
10,General Banking,Mortgage & Secured Loans,Working Capital Loan,3,3.0
10,Credit,Banking Tech & Digital Services,Foreign Exchange Rates Inquiry,2,49.2
5,Credit,Trade Finance,Debit Card Activation,2,3.0
7,Credit,Credit Cards,Foreign Exchange Rates Inquiry,1,11.7
7,General Banking,Retail Loans,SWIFT Transfer,2,3.0
10,Credit,International Transactions,Working Capital Loan,1,3.0
10,Forex,Corporate Loans,Mobile Banking Issue,2,3.0
4,Credit,Corporate Loans,Reward Points Inquiry,2,51.9
10,Forex,Accounts & Deposits,Home Loan,3,3.0
7,General Banking,Microfinance & Agricultural Loans,SWIFT Transfer,2,24.9
10,Credit,Accounts & Deposits,Loan Against Property,3,29.4
9,General Banking,Mortgage & Secured Loans,Debit Card Activation,1,43.3
3,Credit,Credit Cards,SWIFT Transfer,2,3.0
7,Forex,KYC & Documentation,Savings Account,3,3.0
10,General Banking,Currency Exchange,Repatriation of Funds,1,63.4
9,General Banking,Foreign Investments & NRI Banking,Loan Against Property,1,39.8
9,Credit,Retail Loans,Car Loan,2,3.0
10,General Banking,Microfinance & Agricultural Loans,Working Capital Loan,3,3.0
5,General Banking,Credit Cards,Car Loan,2,7.5
10,General Banking,Credit Cards,Working Capital Loan,3,3.0
4,Forex,Mortgage & Secured Loans,Education Loan,3,18.4
8,Forex,Cards & Banking Services,Lost/Stolen Card,1,3.0
10,Credit,Banking Tech & Digital Services,Reward Points Inquiry,2,3.0
10,General Banking,KYC & Documentation,Education Loan,2,15.8
10,General Banking,Cards & Banking Services,Credit Limit Increase,1,21.4
8,General Banking,Credit Cards,Recurring Deposit,1,9.2
10,Forex,Transactions & Payments,Recurring Deposit,3,11.0
8,Credit,Accounts & Deposits,Car Loan,1,42.0
10,Forex,KYC & Documentation,Savings Account,3,43.9
8,Forex,KYC & Documentation,Bank Guarantee,2,3.0
7,General Banking,Credit Cards,Debit Card Activation,1,54.6
9,Credit,Foreign Investments & NRI Banking,Recurring Deposit,1,3.0
8,Credit,Banking Tech & Digital Services,Debit Card Activation,1,86.9
7,Credit,Corporate Loans,Current Account,1,22.7
10,Credit,International Transactions,Net Banking Login Issue,3,58.6
6,General Banking,International Transactions,Debit Card Activation,1,52.7
5,Credit,Trade Finance,Fixed Deposit,1,107.7
10,General Banking,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,2,3.0
8,Credit,KYC & Documentation,Bank Guarantee,2,3.0
8,Credit,Banking Tech & Digital Services,Fixed Deposit,3,34.1
10,Credit,Credit Cards,Home Loan,1,10.1
8,Credit,Currency Exchange,Net Banking Login Issue,3,3.0
6,Credit,Corporate Loans,Current Account,2,3.0
10,Forex,Transactions & Payments,Cash Currency Exchange,1,16.1
10,General Banking,Currency Exchange,Fixed Deposit,3,3.0
10,Forex,Trade Finance,Bank Guarantee,2,31.6
9,General Banking,Currency Exchange,NRE/NRO Account Opening,2,3.0
4,Credit,Corporate Loans,Debit Card Activation,2,3.0
8,Credit,Retail Loans,Car Loan,3,3.8
1,General Banking,Credit Cards,Personal Loan,2,3.0
1,Forex,Trade Finance,Recurring Deposit,2,3.0
10,Forex,Foreign Investments & NRI Banking,SWIFT Transfer,2,3.0
10,General Banking,Retail Loans,Home Loan,3,3.0
8,General Banking,KYC & Documentation,Car Loan,2,3.0
3,Forex,Accounts & Deposits,Current Account,2,3.0
8,Credit,Retail Loans,Letter of Credit,1,3.0
10,Forex,Microfinance & Agricultural Loans,Loan Against Property,3,46.6
9,General Banking,KYC & Documentation,Repatriation of Funds,3,3.0
4,Forex,Retail Loans,NRE/NRO Account Opening,3,3.4
10,Forex,Credit Cards,Repatriation of Funds,3,3.0
10,Forex,KYC & Documentation,Home Loan,2,15.9
9,General Banking,Transactions & Payments,SWIFT Transfer,3,3.0
6,Forex,Transactions & Payments,Car Loan,3,12.0
5,Credit,Mortgage & Secured Loans,NEFT/RTGS/IMPS Issue,2,41.0
10,Credit,International Transactions,SWIFT Transfer,2,3.0
9,Forex,Retail Loans,NEFT/RTGS/IMPS Issue,1,11.8
10,Forex,International Transactions,Credit Limit Increase,1,26.5
6,Forex,KYC & Documentation,Education Loan,2,3.0
7,General Banking,Retail Loans,Mobile Banking Issue,2,47.1
3,Forex,Corporate Loans,Bank Guarantee,3,8.1
7,Credit,Corporate Loans,Bank Guarantee,2,7.2
8,Credit,Accounts & Deposits,Lost/Stolen Card,3,30.3
8,Forex,Corporate Loans,Mobile Banking Issue,2,22.2
10,Forex,Banking Tech & Digital Services,Net Banking Login Issue,3,20.2
10,Credit,Foreign Investments & NRI Banking,NRE/NRO Account Opening,2,3.0
6,Forex,KYC & Documentation,Fixed Deposit,2,3.0
2,General Banking,Currency Exchange,Savings Account,1,3.0
1,Credit,Trade Finance,Repatriation of Funds,3,39.1
3,Credit,International Transactions,NRE/NRO Account Opening,1,21.7
6,General Banking,Corporate Loans,NEFT/RTGS/IMPS Issue,2,21.9
10,General Banking,Transactions & Payments,Current Account,3,67.4
9,General Banking,Currency Exchange,Education Loan,1,3.9
6,Credit,Corporate Loans,Loan Against Property,2,3.0
6,Credit,KYC & Documentation,SWIFT Transfer,1,161.4
4,Credit,Credit Cards,Home Loan,2,16.0
5,Credit,KYC & Documentation,Current Account,1,3.0
9,General Banking,Mortgage & Secured Loans,Cash Currency Exchange,1,3.0
4,Forex,Corporate Loans,Credit Limit Increase,1,156.0
4,General Banking,KYC & Documentation,Home Loan,2,92.8
8,General Banking,Banking Tech & Digital Services,Credit Limit Increase,1,3.0
10,Credit,Microfinance & Agricultural Loans,Education Loan,2,6.2
10,Forex,Trade Finance,Debit Card Activation,3,3.0
3,Forex,Mortgage & Secured Loans,Lost/Stolen Card,2,3.0
9,General Banking,Credit Cards,Education Loan,2,19.7
10,Credit,Currency Exchange,Working Capital Loan,3,3.0
5,General Banking,Corporate Loans,Loan Against Property,2,3.0
1,Forex,KYC & Documentation,Current Account,2,3.0
9,General Banking,International Transactions,Savings Account,1,41.2
10,Credit,International Transactions,Savings Account,2,3.0
10,Forex,Accounts & Deposits,Letter of Credit,2,20.5
10,Credit,Foreign Investments & NRI Banking,NEFT/RTGS/IMPS Issue,3,3.0
10,Forex,Transactions & Payments,Education Loan,1,18.1
9,General Banking,Credit Cards,Personal Loan,3,11.3
4,Credit,Credit Cards,Foreign Exchange Rates Inquiry,2,3.0
10,General Banking,Trade Finance,Personal Loan,2,16.3
9,Forex,Corporate Loans,Working Capital Loan,1,106.2
10,Forex,Corporate Loans,Working Capital Loan,3,23.1
10,General Banking,Corporate Loans,Fixed Deposit,1,3.0
10,Credit,Banking Tech & Digital Services,Car Loan,2,45.2
7,General Banking,Banking Tech & Digital Services,Reward Points Inquiry,2,3.0
10,Credit,Transactions & Payments,Personal Loan,2,3.0
10,General Banking,International Transactions,Car Loan,2,4.4
10,General Banking,Accounts & Deposits,Personal Loan,2,3.0
9,General Banking,Cards & Banking Services,Mobile Banking Issue,1,3.0
8,Credit,Accounts & Deposits,Loan Against Property,2,3.0
7,Credit,International Transactions,Recurring Deposit,1,88.7
9,General Banking,Retail Loans,Letter of Credit,1,13.4
10,Forex,Foreign Investments & NRI Banking,Reward Points Inquiry,3,10.9
10,Forex,Accounts & Deposits,Recurring Deposit,3,3.0
10,Credit,Credit Cards,Repatriation of Funds,1,3.0
10,Credit,International Transactions,NRE/NRO Account Opening,3,3.0
9,Forex,KYC & Documentation,Reward Points Inquiry,1,28.9
8,Forex,KYC & Documentation,NEFT/RTGS/IMPS Issue,2,3.0
10,Forex,Microfinance & Agricultural Loans,Savings Account,1,3.0
6,General Banking,Retail Loans,Lost/Stolen Card,2,3.0
10,General Banking,Accounts & Deposits,Lost/Stolen Card,3,7.9
6,General Banking,Banking Tech & Digital Services,Education Loan,3,3.0
8,Credit,Trade Finance,Personal Loan,2,3.4
5,General Banking,Mortgage & Secured Loans,Letter of Credit,3,18.9
3,Forex,Transactions & Payments,Personal Loan,1,92.3
3,General Banking,Currency Exchange,Current Account,2,3.0
4,Credit,Foreign Investments & NRI Banking,Car Loan,3,3.0
9,Forex,Microfinance & Agricultural Loans,Letter of Credit,2,5.4
7,Forex,International Transactions,Foreign Exchange Rates Inquiry,2,3.0
10,Credit,Currency Exchange,Loan Against Property,1,53.9
4,Forex,International Transactions,Debit Card Activation,1,3.0
10,General Banking,Transactions & Payments,Foreign Exchange Rates Inquiry,1,16.0
1,Credit,Corporate Loans,SWIFT Transfer,3,3.0
5,General Banking,Mortgage & Secured Loans,Fixed Deposit,3,3.0
6,Forex,Mortgage & Secured Loans,NRE/NRO Account Opening,2,10.6
6,Forex,Accounts & Deposits,Home Loan,2,3.0
9,Forex,Currency Exchange,Recurring Deposit,2,44.4
6,Forex,Foreign Investments & NRI Banking,Mobile Banking Issue,2,40.8
3,Forex,Transactions & Payments,Loan Against Property,2,3.0
9,Credit,Currency Exchange,Mobile Banking Issue,1,26.3
8,General Banking,Transactions & Payments,Personal Loan,3,3.0
9,Credit,Retail Loans,Car Loan,2,3.0
5,General Banking,Currency Exchange,Bank Guarantee,1,47.6
6,General Banking,Trade Finance,Loan Against Property,2,8.7
6,Forex,Retail Loans,Cash Currency Exchange,3,13.8
10,Forex,KYC & Documentation,Repatriation of Funds,1,45.7
10,Forex,Banking Tech & Digital Services,Recurring Deposit,1,3.0
10,Forex,Accounts & Deposits,Net Banking Login Issue,2,58.5
10,Forex,International Transactions,SWIFT Transfer,3,16.3
8,Credit,Mortgage & Secured Loans,SWIFT Transfer,1,11.2
8,Credit,Currency Exchange,Reward Points Inquiry,2,27.8
10,Credit,Microfinance & Agricultural Loans,Car Loan,2,61.5
10,General Banking,Transactions & Payments,Personal Loan,3,3.0
6,Credit,Retail Loans,Letter of Credit,3,3.0
10,General Banking,Cards & Banking Services,Working Capital Loan,1,3.0
1,General Banking,KYC & Documentation,Foreign Exchange Rates Inquiry,1,3.0
7,Forex,Trade Finance,NEFT/RTGS/IMPS Issue,3,23.8
7,General Banking,Trade Finance,Foreign Exchange Rates Inquiry,1,54.8
5,Forex,International Transactions,Car Loan,2,3.0
10,Forex,Trade Finance,Working Capital Loan,2,3.0
7,Credit,Accounts & Deposits,Credit Limit Increase,1,23.4
6,General Banking,Cards & Banking Services,NEFT/RTGS/IMPS Issue,3,61.8
10,General Banking,KYC & Documentation,Current Account,2,128.2
10,Forex,Microfinance & Agricultural Loans,Loan Against Property,3,3.0
7,General Banking,Corporate Loans,Personal Loan,1,3.0
3,Credit,Retail Loans,Fixed Deposit,2,41.1
10,General Banking,Mortgage & Secured Loans,SWIFT Transfer,1,35.4
10,Credit,KYC & Documentation,Credit Limit Increase,2,28.9
8,Forex,Currency Exchange,Recurring Deposit,2,3.0
10,General Banking,Foreign Investments & NRI Banking,Car Loan,1,29.1
7,Forex,Transactions & Payments,Current Account,3,3.0
4,General Banking,Microfinance & Agricultural Loans,NRE/NRO Account Opening,2,60.9
10,Forex,Currency Exchange,Letter of Credit,3,54.6
10,Forex,Microfinance & Agricultural Loans,Debit Card Activation,2,3.0
7,Forex,Accounts & Deposits,Debit Card Activation,2,3.0
5,Credit,Foreign Investments & NRI Banking,Fixed Deposit,2,18.6
10,Forex,Currency Exchange,Savings Account,3,14.0
10,Credit,Microfinance & Agricultural Loans,Net Banking Login Issue,2,21.7
7,Forex,International Transactions,Personal Loan,2,25.2
10,Credit,Accounts & Deposits,Recurring Deposit,3,43.6
8,Forex,Credit Cards,Education Loan,3,46.7
10,Forex,Corporate Loans,Bank Guarantee,3,31.8
8,Forex,Cards & Banking Services,Savings Account,3,6.7
9,Credit,Retail Loans,SWIFT Transfer,2,40.9
10,Credit,Corporate Loans,Cash Currency Exchange,3,3.0
5,Forex,Foreign Investments & NRI Banking,Letter of Credit,1,3.0
10,Credit,KYC & Documentation,Education Loan,3,16.5
10,Forex,Credit Cards,SWIFT Transfer,1,47.5
7,General Banking,Corporate Loans,Reward Points Inquiry,3,7.1
6,Credit,Cards & Banking Services,Mobile Banking Issue,3,3.0
10,General Banking,Transactions & Payments,Savings Account,1,38.4
8,Credit,Microfinance & Agricultural Loans,Letter of Credit,2,3.0
6,General Banking,Trade Finance,NRE/NRO Account Opening,1,3.0
8,Forex,Banking Tech & Digital Services,Letter of Credit,1,17.0
10,Credit,Transactions & Payments,Foreign Exchange Rates Inquiry,1,3.0
9,Forex,Banking Tech & Digital Services,Cash Currency Exchange,1,28.2
4,Credit,Transactions & Payments,Debit Card Activation,2,3.0
10,Credit,Foreign Investments & NRI Banking,Repatriation of Funds,3,3.0
10,Credit,Transactions & Payments,Current Account,1,3.0
10,Credit,Trade Finance,Reward Points Inquiry,3,3.0
8,Forex,Transactions & Payments,Working Capital Loan,3,47.2
2,Credit,Currency Exchange,Reward Points Inquiry,3,31.8
4,General Banking,Cards & Banking Services,Reward Points Inquiry,1,18.7
1,Forex,Corporate Loans,Education Loan,3,3.0
7,General Banking,Corporate Loans,Foreign Exchange Rates Inquiry,3,19.5
6,Credit,Microfinance & Agricultural Loans,Savings Account,3,3.0
6,Forex,Corporate Loans,NRE/NRO Account Opening,3,22.0
5,Forex,Accounts & Deposits,Bank Guarantee,2,3.0
6,Forex,Foreign Investments & NRI Banking,Home Loan,1,3.0
10,Forex,Corporate Loans,Car Loan,2,3.0
10,General Banking,Retail Loans,Cash Currency Exchange,2,3.0
2,Forex,Credit Cards,Personal Loan,1,3.0
10,Credit,Transactions & Payments,Mobile Banking Issue,3,54.7
8,Forex,Credit Cards,SWIFT Transfer,2,3.0
7,General Banking,Banking Tech & Digital Services,Mobile Banking Issue,3,13.4
4,General Banking,Microfinance & Agricultural Loans,SWIFT Transfer,1,3.0
10,Forex,International Transactions,Fixed Deposit,2,56.4
10,Credit,Transactions & Payments,Working Capital Loan,1,26.1
5,Forex,Trade Finance,Working Capital Loan,2,11.7
8,Credit,Corporate Loans,Credit Limit Increase,2,7.1
5,Forex,International Transactions,Home Loan,1,10.2
10,Forex,Accounts & Deposits,Recurring Deposit,1,168.0
7,Forex,Banking Tech & Digital Services,Car Loan,3,3.0
9,Forex,Mortgage & Secured Loans,Working Capital Loan,3,3.0
7,Forex,Cards & Banking Services,Reward Points Inquiry,2,11.0
10,General Banking,Cards & Banking Services,SWIFT Transfer,1,3.0
10,Forex,Banking Tech & Digital Services,SWIFT Transfer,2,3.0
7,General Banking,Retail Loans,NRE/NRO Account Opening,1,35.8
4,General Banking,Corporate Loans,SWIFT Transfer,3,3.0
7,Forex,KYC & Documentation,Recurring Deposit,2,3.0
4,General Banking,Mortgage & Secured Loans,Personal Loan,1,36.8
10,Credit,Transactions & Payments,Fixed Deposit,1,3.0
4,Forex,Credit Cards,Cash Currency Exchange,3,3.0
9,Forex,Credit Cards,Cash Currency Exchange,3,22.6
10,Forex,Retail Loans,Cash Currency Exchange,1,59.6
9,Forex,Accounts & Deposits,Letter of Credit,2,51.0
10,Credit,Banking Tech & Digital Services,Home Loan,2,31.5
10,Credit,Cards & Banking Services,Repatriation of Funds,1,3.0
10,Credit,Retail Loans,Fixed Deposit,2,3.0
3,Credit,Corporate Loans,Mobile Banking Issue,2,4.6
7,Forex,Cards & Banking Services,Recurring Deposit,3,21.3
10,General Banking,Banking Tech & Digital Services,Education Loan,1,7.4
1,General Banking,Accounts & Deposits,Foreign Exchange Rates Inquiry,1,3.0
7,Forex,Microfinance & Agricultural Loans,Fixed Deposit,3,3.0
10,Credit,Microfinance & Agricultural Loans,Fixed Deposit,1,6.4
10,Forex,KYC & Documentation,Car Loan,2,132.7
9,Credit,Banking Tech & Digital Services,Letter of Credit,1,19.9
10,Forex,Microfinance & Agricultural Loans,Credit Limit Increase,3,12.9
5,General Banking,International Transactions,Current Account,3,3.0
10,Credit,Trade Finance,Working Capital Loan,3,3.0
7,General Banking,Trade Finance,Working Capital Loan,3,39.7
6,General Banking,Credit Cards,Foreign Exchange Rates Inquiry,2,60.6
10,General Banking,Accounts & Deposits,Credit Limit Increase,1,3.0
4,General Banking,Trade Finance,Education Loan,1,3.0
10,Credit,Foreign Investments & NRI Banking,Personal Loan,1,3.0
2,Forex,Corporate Loans,NRE/NRO Account Opening,3,3.0
10,Credit,International Transactions,Letter of Credit,3,3.0
10,Credit,Currency Exchange,Loan Against Property,1,3.0
10,General Banking,Mortgage & Secured Loans,Education Loan,1,100.1
10,Credit,Foreign Investments & NRI Banking,Car Loan,2,29.6
9,Credit,Mortgage & Secured Loans,NEFT/RTGS/IMPS Issue,2,32.8
1,Credit,Banking Tech & Digital Services,Education Loan,2,3.0
10,General Banking,Mortgage & Secured Loans,Reward Points Inquiry,1,14.7
10,Credit,Foreign Investments & NRI Banking,Current Account,1,3.0
10,General Banking,Accounts & Deposits,Lost/Stolen Card,1,42.8
10,Forex,Transactions & Payments,Foreign Exchange Rates Inquiry,1,3.0
10,General Banking,KYC & Documentation,Education Loan,1,3.0
10,Credit,Retail Loans,Current Account,2,45.1
9,Credit,Cards & Banking Services,Recurring Deposit,2,3.0
10,General Banking,Retail Loans,Fixed Deposit,2,66.3
8,Forex,Banking Tech & Digital Services,Lost/Stolen Card,3,51.4
10,Credit,Trade Finance,Credit Limit Increase,2,3.0
8,Credit,Corporate Loans,Mobile Banking Issue,2,3.0
7,General Banking,Retail Loans,Car Loan,1,6.6
10,Forex,Currency Exchange,Mobile Banking Issue,3,3.0
10,Forex,Retail Loans,Home Loan,2,27.8
10,Credit,Transactions & Payments,Repatriation of Funds,3,11.3
9,Forex,Currency Exchange,SWIFT Transfer,1,3.0
10,Forex,Trade Finance,Fixed Deposit,3,86.2
8,Forex,Credit Cards,Loan Against Property,1,86.5
5,General Banking,Banking Tech & Digital Services,Reward Points Inquiry,1,3.0
9,General Banking,Cards & Banking Services,Savings Account,1,3.0
10,General Banking,Foreign Investments & NRI Banking,Reward Points Inquiry,1,25.6
7,Forex,Retail Loans,Foreign Exchange Rates Inquiry,1,55.8
9,General Banking,Accounts & Deposits,Net Banking Login Issue,1,25.6
8,Credit,Credit Cards,Debit Card Activation,3,3.0
10,Forex,Credit Cards,Mobile Banking Issue,2,5.4
8,Credit,Accounts & Deposits,Savings Account,2,24.5
9,General Banking,International Transactions,Working Capital Loan,3,44.3
8,Credit,Cards & Banking Services,Loan Against Property,2,3.0
10,Forex,International Transactions,SWIFT Transfer,1,17.8
10,General Banking,Cards & Banking Services,Personal Loan,3,11.0
5,Credit,Banking Tech & Digital Services,Loan Against Property,2,3.0
7,Credit,Accounts & Deposits,Net Banking Login Issue,2,5.3
10,Credit,International Transactions,NRE/NRO Account Opening,1,7.7
5,Credit,Corporate Loans,Education Loan,3,9.6
8,Credit,Trade Finance,Car Loan,1,3.0
10,Forex,Trade Finance,Savings Account,1,3.0
9,Forex,Credit Cards,Net Banking Login Issue,1,8.3
7,Credit,Retail Loans,Letter of Credit,2,3.0
8,Forex,KYC & Documentation,Car Loan,1,3.0
6,Credit,Credit Cards,Net Banking Login Issue,3,3.0
10,Forex,Retail Loans,Working Capital Loan,1,28.5
7,Credit,Currency Exchange,Foreign Exchange Rates Inquiry,2,12.3
10,Forex,KYC & Documentation,NEFT/RTGS/IMPS Issue,1,11.4
5,General Banking,International Transactions,Car Loan,1,60.7
7,General Banking,International Transactions,Debit Card Activation,1,38.8
10,Credit,Microfinance & Agricultural Loans,Working Capital Loan,2,3.0
5,General Banking,Mortgage & Secured Loans,Loan Against Property,2,13.2
9,Credit,Banking Tech & Digital Services,Loan Against Property,1,93.7
10,Forex,Cards & Banking Services,Letter of Credit,3,3.0
10,Forex,Retail Loans,Car Loan,3,65.1
5,Credit,Currency Exchange,Education Loan,1,33.0
6,Credit,International Transactions,Cash Currency Exchange,2,3.0
5,Forex,Microfinance & Agricultural Loans,Car Loan,3,3.0
10,Forex,Microfinance & Agricultural Loans,Bank Guarantee,3,45.1
8,Forex,Credit Cards,Savings Account,1,21.5
10,Credit,International Transactions,Fixed Deposit,2,3.0
7,Forex,Retail Loans,Personal Loan,2,3.0
9,General Banking,Banking Tech & Digital Services,Foreign Exchange Rates Inquiry,1,27.0
10,Forex,International Transactions,Bank Guarantee,3,36.1
10,General Banking,Transactions & Payments,NRE/NRO Account Opening,2,48.0
10,General Banking,Foreign Investments & NRI Banking,Fixed Deposit,3,3.0
2,Forex,Banking Tech & Digital Services,Fixed Deposit,1,30.0
10,Credit,International Transactions,Debit Card Activation,2,3.0
8,General Banking,Banking Tech & Digital Services,Fixed Deposit,1,8.4
8,General Banking,Credit Cards,Loan Against Property,1,3.0
10,Forex,Corporate Loans,Education Loan,1,35.6
9,Forex,Microfinance & Agricultural Loans,Credit Limit Increase,3,23.2
10,General Banking,Currency Exchange,Foreign Exchange Rates Inquiry,2,56.6
10,General Banking,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,3,31.7
10,General Banking,Mortgage & Secured Loans,Reward Points Inquiry,1,3.0
10,General Banking,Banking Tech & Digital Services,Bank Guarantee,1,82.9
7,General Banking,Trade Finance,Credit Limit Increase,2,3.0
5,General Banking,Banking Tech & Digital Services,Home Loan,2,3.0
5,General Banking,Cards & Banking Services,SWIFT Transfer,3,33.6
8,Forex,Foreign Investments & NRI Banking,SWIFT Transfer,3,34.5
3,Credit,Currency Exchange,NRE/NRO Account Opening,2,49.7
8,Forex,Foreign Investments & NRI Banking,Savings Account,1,3.0
10,General Banking,Credit Cards,Debit Card Activation,3,3.0
6,Credit,Cards & Banking Services,Foreign Exchange Rates Inquiry,2,50.1
8,Credit,Currency Exchange,Loan Against Property,3,3.0
3,General Banking,Banking Tech & Digital Services,Home Loan,2,16.2
7,Credit,Corporate Loans,Recurring Deposit,2,3.0
10,General Banking,Cards & Banking Services,Lost/Stolen Card,1,118.5
2,Credit,Currency Exchange,Savings Account,1,3.0
10,Forex,Microfinance & Agricultural Loans,Working Capital Loan,2,19.0
10,Credit,Mortgage & Secured Loans,Car Loan,3,3.0
5,General Banking,Retail Loans,Home Loan,1,55.0
3,General Banking,Microfinance & Agricultural Loans,Bank Guarantee,3,57.8
10,Forex,Cards & Banking Services,Education Loan,2,34.0
9,Credit,Currency Exchange,Debit Card Activation,2,39.1
8,Credit,Credit Cards,Mobile Banking Issue,2,14.2
7,General Banking,Microfinance & Agricultural Loans,Recurring Deposit,1,40.0
10,Forex,Corporate Loans,NRE/NRO Account Opening,1,31.9
8,Forex,Corporate Loans,Letter of Credit,3,3.0
5,Forex,KYC & Documentation,Recurring Deposit,3,46.2
10,General Banking,Currency Exchange,Loan Against Property,1,3.0
7,Credit,Foreign Investments & NRI Banking,Savings Account,2,15.0
10,Credit,International Transactions,Education Loan,3,3.0
8,General Banking,Microfinance & Agricultural Loans,Reward Points Inquiry,1,33.7
8,Credit,Transactions & Payments,SWIFT Transfer,3,29.7
7,General Banking,Cards & Banking Services,Education Loan,1,3.0
6,Credit,Currency Exchange,Personal Loan,1,68.9
10,General Banking,Corporate Loans,Education Loan,2,3.0
5,Credit,KYC & Documentation,Letter of Credit,1,11.5
10,Forex,International Transactions,Home Loan,2,19.3
10,Credit,Cards & Banking Services,Net Banking Login Issue,2,6.3
10,General Banking,Transactions & Payments,Home Loan,3,7.6
